EventId,EventTemplate,Occurrences
2badf038,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""response"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""status"":<*>,""duration_ms"":<*>}}",11091
28f67c55,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",3105
524a2d3b,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""response"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""status"":<*>,""duration_ms"":<*>}}",2375
51c1d5e7,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""to"":""<*>""}}",1947
a8086173,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""reason"":""not_authenticated""}}",1947
aa7e33f6,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",1429
4f1cb947,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",891
d4a2d6cd,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",891
e5bb29d3,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (X11; Linux x86_64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",698
d9a9bcbc,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",669
0be3c1d2,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/"",""details"":{""reason"":""not_authenticated""}}",658
605abc13,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""response"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/"",""details"":{""status"":<*>,""duration_ms"":<*>}}",658
