EventId,EventTemplate,Occurrences
10457f1b,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""<*>""",49999
34f3e735,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",13467
6643f780,"{""ts"":""<*>"",""level"":""INFO"",""action"":""response"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""status"":<*>,""duration_ms"":<*>}}",13466
fb757e7a,"""POST <*> HTTP/<*>"" <*> ""<*>"" ""<*>""",4999
4ea8f0c2,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""reason"":""not_authenticated""}}",2195
80c17c30,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""to"":""<*>""}}",2195
1a269d4b,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",1214
5de461eb,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",1214
db6f5720,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",1004
44bbb9cc,"{""ts"":""<*>"",""level"":""INFO"",""action"":""response"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/"",""details"":{""status"":<*>,""duration_ms"":<*>}}",753
8de45f85,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/"",""details"":{""reason"":""not_authenticated""}}",753
a6df66a6,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",753
db297459,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/"",""details"":{""to"":""<*>""}}",753
12176ae5,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",722
9526c0f2,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>"",""details"":{""to"":""..<*>""}}",722
d698da91,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>"",""details"":{""reason"":""not_authenticated""}}",722
44a442d7,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?name=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",657
f2ac522f,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?name=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",657
279d21f9,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""query"":{""ip"":""<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",649
6e246ed3,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",649
99caab88,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",649
7be02228,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""reason"":""not_authenticated""}}",640
d83bf8b9,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""to"":""..<*>""}}",640
4c90ff3b,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",638
72f390b1,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",638
32266b58,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""reason"":""not_authenticated""}}",635
6b2d62bc,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""query"":{""seed"":""<*>""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",635
fe014259,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""to"":""..<*>""}}",635
41f45c32,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""query"":{""url"":""<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",609
2893aed2,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""query"":{""page"":""<*>""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",513
