EventId,EventTemplate,Occurrences
b16d8f5e,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""",13683
21bcfe1c,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""",6195
00b24078,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (X11; Linux x86_64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""",3126
1907e8b2,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>""",2694
28c41cab,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Linux; Android <*>; K) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Mobile Safari/<*>.<*>""",2573
387254e7,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*>.<*> (KHTML, like Gecko) Version/<*>.<*> Safari/<*>.<*>.<*>""",2243
4c9cca04,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*> Edg/<*>""",2194
73063e5b,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_64; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>""",1421
1b85f758,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (X11; Linux x86_64; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>""",1381
517235b7,"""POST <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""",1353
236424c7,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*>.<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>""",1297
25228352,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*>.<*>.<*>.<*> Safari/<*>.<*>""",1264
c8a31c5c,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) obsidian/<*>.<*>.<*> Chrome/<*>.<*>.<*>.<*> Electron/<*>.<*>.<*> Safari/<*>.<*>""",913
25d1a76b,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*> OPR/<*>""",898
359296df,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/<*>.<*>.<*> (KHTML, like Gecko) Version/<*>.<*> Mobile/15E148 Safari/<*>.<*>""",890
7f8b9325,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) tikplays/<*>.<*>.<*> Chrome/<*>.<*>.<*>.<*> Electron/<*>.<*>.<*> Safari/<*>.<*>""",853
bc13c45a,"""POST <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""",619
606f28fa,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/<*>.<*>.<*> (KHTML, like Gecko) CriOS/<*>.<*>.<*>.<*> Mobile/15E148 Safari/<*>.<*>""",477
254ca585,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/<*>.<*>.<*> (KHTML, like Gecko) Version/<*>.<*> Mobile/15E148 Safari/<*>.<*>""",468
a5a9196a,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/<*>.<*>.<*> (KHTML, like Gecko) Version/<*>.<*> Mobile/15E148 Safari/<*>.<*>""",463
03a6dd0f,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Linux; Android <*>; K) AppleWebKit/<*>.<*> (KHTML, like Gecko) SamsungBrowser/<*>.<*> Chrome/<*> Mobile Safari/<*>.<*>""",456
7ea1a4e9,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*>""",451
c9054b6c,"""GET <*> HTTP/<*>"" <*> ""<*>"" ""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*> OPR/<*>""",451
